SUPPLIER_AID;STOCK
K0086/250;100000
K0086/500;100000
K8000;100000
K8000/010;100000
K8000/025;100000
K8000/050;100000
K8000/100;100000
K8000/250;100000
K8000/500;100000
S0001;100000
S0001/010;100000
S0001/025;100000
S0001/050;100000
S0001/100;100000
S0001/250;100000
S0001/500;100000
S0007;100000
S0007/010;100000
S0007/025;100000
S0007/050;100000
S0007/100;100000
S0007/250;100000
S0007/500;100000
S0008;100000
S0008/010;100000
S0008/025;100000
S0008/050;100000
S0008/100;100000
S0008/250;100000
S0008/500;100000
S0009;100000
S0009/010;100000
S0009/025;100000
S0009/050;100000
S0009/100;100000
S0009/250;100000
S0009/500;100000
S0011;100000
S0011/010;100000
S0011/025;100000
S0011/050;100000
S0011/100;100000
S0011/250;100000
S0011/500;100000
S0019;100000
S0019/010;100000
S0019/025;100000
S0019/050;100000
S0019/100;100000
S0019/250;100000
S0019/500;100000
S0020;100000
S0020/010;100000
S0020/025;100000
S0020/050;100000
S0020/100;100000
S0020/250;100000
S0020/500;100000
S0021;100000
S0021/010;100000
S0021/025;100000
S0021/050;100000
S0021/100;100000
S0021/250;100000
S0021/500;100000
S0027;100000
S0027/010;100000
S0027/025;100000
S0027/050;100000
S0027/100;100000
S0027/250;100000
S0027/500;100000
S0028;100000
S0028/010;100000
S0028/025;100000
S0028/050;100000
S0028/100;100000
S0028/250;100000
S0028/500;100000
S0030;100000
S0030/010;100000
S0030/025;100000
S0030/050;100000
S0030/100;100000
S0030/250;100000
S0030/500;100000
S0069;100000
S0069/010;100000
S0069/025;100000
S0069/050;100000
S0069/100;100000
S0069/250;100000
S0069/500;100000
S0127;100000
S0127/010;100000
S0127/025;100000
S0127/050;100000
S0127/100;100000
S0127/250;100000
S0127/500;100000
S0132;100000
S0132/010;100000
S0132/025;100000
S0132/050;100000
S0132/100;100000
S0132/250;100000
S0132/500;100000
S1029;100000
S1029/010;100000
S1029/025;100000
S1029/050;100000
S1029/100;100000
S1029/250;100000
S1029/500;100000
S1047;100000
S1047/010;100000
S1047/025;100000
S1047/050;100000
S1047/100;100000
S1047/250;100000
S1047/500;100000
S1049;100000
S1049/010;100000
S1049/025;100000
S1049/050;100000
S1049/100;100000
S1049/250;100000
S1049/500;100000
S1060;100000
S1060/010;100000
S1060/025;100000
S1060/050;100000
S1060/100;100000
S1060/250;100000
S1060/500;100000
S8002;100000
S8002/010;100000
S8002/025;100000
S8002/050;100000
S8002/100;100000
S8002/250;100000
S8002/500;100000
S9002;100000
S9002/010;100000
S9002/025;100000
S9002/050;100000
S9002/100;100000
S9002/250;100000
S9002/500;100000
XS001;100000
XS001/005;100000
XS001/010;100000
XS001/025;100000
XS001/050;100000
XS001/100;100000
XS002;100000
XS002/005;100000
XS002/010;100000
XS002/025;100000
XS002/050;100000
XS002/100;100000
XS003;100000
XS003/005;100000
XS003/010;100000
XS003/025;100000
XS003/050;100000
XS003/100;100000
XS006;100000
XS006/005;100000
XS006/010;100000
XS006/025;100000
XS006/050;100000
XS006/100;100000
XS007;100000
XS007/005;100000
XS007/010;100000
XS007/025;100000
XS007/050;100000
XS007/100;100000
XS008;100000
XS008/005;100000
XS008/010;100000
XS008/025;100000
XS008/050;100000
XS008/100;100000
XS009;100000
XS009/005;100000
XS009/010;100000
XS009/025;100000
XS009/050;100000
XS009/100;100000
XS012;100000
XS012/005;100000
XS012/010;100000
XS012/025;100000
XS012/050;100000
XS012/100;100000
XS016;100000
XS016/005;100000
XS016/010;100000
XS016/025;100000
XS016/050;100000
XS016/100;100000
XS019;100000
XS019/005;100000
XS019/010;100000
XS019/025;100000
XS019/050;100000
XS019/100;100000
XS020;100000
XS020/005;100000
XS020/010;100000
XS020/025;100000
XS020/050;100000
XS020/100;100000
XS021;100000
XS021/005;100000
XS021/010;100000
XS021/025;100000
XS021/050;100000
XS021/100;100000
XS024;100000
XS024/005;100000
XS024/010;100000
XS024/025;100000
XS024/050;100000
XS024/100;100000
XS043;100000
XS043/005;100000
XS043/010;100000
XS043/025;100000
XS043/050;100000
XS043/100;100000
XSF06;100000
XSF06/005;100000
XSF06/010;100000
XSF06/025;100000
XSF06/050;100000
XSF06/100;100000
XSF15;100000
XSF15/005;100000
XSF15/010;100000
XSF15/025;100000
XSF15/050;100000
XSF15/100;100000
XS096;100000
XS096/005;100000
XS096/010;100000
XS096/025;100000
XS096/050;100000
XS096/100;100000
XS097;100000
XS097/005;100000
XS097/010;100000
XS097/025;100000
XS097/100;100000
M0001;100000
M0003;100000
M0004;100000
M1068;100000
PT007;100000
PT007/005;100000
PT007/010;100000
PT007/050;100000
PT007/100;100000
PT008;100000
PT008/005;100000
PT008/010;100000
PT008/050;100000
PT008/100;100000
PT004;100000
PT004/005;100000
PT004/010;100000
PT004/050;100000
PT004/100;100000
PT005;100000
PT005/005;100000
PT005/010;100000
PT005/050;100000
PT006;100000
PT006/005;100000
PT006/010;100000
PT006/050;100000
PT002;100000
PT002/005;100000
PT002/010;100000
PT002/050;100000
PT002/100;100000
PT003;100000
PT003/005;100000
PT003/010;100000
PT003/050;100000
PT003/100;100000
PT009;100000
PT009/005;100000
PT009/010;100000
PT009/050;100000
PT009/100;100000
PT010;100000
PT010/005;100000
PT010/010;100000
PT010/050;100000
PT011;100000
PT011/005;100000
PT011/010;100000
PT011/050;100000
PT012;100000
PT012/005;100000
PT012/010;100000
PT012/050;100000
PT012/100;100000
PT013;100000
PT013/005;100000
PT013/010;100000
PT013/050;100000
PT013/100;100000
PT014;100000
PT014/005;100000
PT014/010;100000
PT014/050;100000
PT014/100;100000
PT015;100000
PT015/005;100000
PT015/010;100000
PT015/050;100000
PT015/100;100000
PT016;100000
PT016/005;100000
PT016/010;100000
PT016/050;100000
PT016/100;100000
PT022;100000
PT022/005;100000
PT022/010;100000
PT022/050;100000
PT046;100000
PT046/005;100000
PT046/010;100000
PT046/050;100000
PT046/100;100000
PT053;100000
PT053/005;100000
PT053/010;100000
PT053/050;100000
PT058;100000
PT058/005;100000
PT058/010;100000
PT058/050;100000
PT059;100000
PT059/005;100000
PT059/010;100000
PT059/050;100000
PT060;100000
PT060/005;100000
PT060/010;100000
PT060/050;100000
PT061;100000
PT061/005;100000
PT061/010;100000
PT061/050;100000
PT062;100000
PT062/005;100000
PT062/010;100000
PT062/050;100000
PT063;100000
PT063/005;100000
PT063/010;100000
PT063/050;100000
TA030;100000
TA030/005;100000
TA030/010;100000
TA030/025;100000
TA030/050;100000
TA031;100000
TA031/005;100000
TA031/010;100000
TA031/025;100000
TA031/050;100000
TA032;100000
TA032/005;100000
TA032/010;100000
TA032/025;100000
TA032/050;100000
TA033;100000
TA033/005;100000
TA033/010;100000
TA033/025;100000
TA033/050;100000
TA034;100000
TA034/005;100000
TA034/010;100000
TA034/025;100000
TA034/050;100000
ta035;100000
ta035/005;100000
ta035/010;100000
ta035/025;100000
ta035/050;100000
TA036;100000
TA036/005;100000
TA036/010;100000
TA036/025;100000
TA036/050;100000
TA038;100000
TA038/005;100000
TA038/010;100000
TA038/025;100000
TA038/050;100000
TA039;100000
TA039/005;100000
TA039/010;100000
TA039/025;100000
TA039/050;100000
TA041;100000
TA041/005;100000
TA041/010;100000
TA041/025;100000
TA041/050;100000
TW030;100000
TW030/005;100000
TW030/010;100000
TW030/025;100000
TW030/050;100000
TW031;100000
TW031/005;100000
TW031/010;100000
TW031/025;100000
TW031/050;100000
tw032;100000
tw032/005;100000
tw032/010;100000
tw032/025;100000
tw032/050;100000
TW033;100000
TW033/005;100000
TW033/010;100000
TW033/025;100000
TW033/050;100000
tw034;100000
tw034/005;100000
tw034/010;100000
tw034/025;100000
tw034/050;100000
TW035;100000
TW035/005;100000
TW035/010;100000
TW035/025;100000
TW035/050;100000
TW038;100000
TW038/005;100000
TW038/010;100000
TW038/025;100000
TW038/050;100000
TW039;100000
TW039/005;100000
TW039/010;100000
TW039/025;100000
TW039/050;100000
TW041;100000
TW041/005;100000
TW041/010;100000
TW041/025;100000
TW041/050;100000
PS001;100000
PS001/005;100000
PS001/010;100000
PS001/025;100000
PS001/050;100000
PS101;100000
PS101/005;100000
PS101/010;100000
PS101/025;100000
PS101/050;100000
PS102;100000
PS102/005;100000
PS102/010;100000
PS102/025;100000
PS102/050;100000
PS103;100000
PS103/005;100000
PS103/010;100000
PS103/025;100000
PS103/050;100000
PSF01;100000
PSF01/005;100000
PSF01/010;100000
PSF01/025;100000
PSF01/050;100000
PSF02;100000
PSF02/005;100000
PSF02/010;100000
PSF02/025;100000
PSF02/050;100000
V0010;100000
V0010/010;100000
V0010/025;100000
V0010/050;100000
V0010/100;100000
V0010/250;100000
V0012;100000
V0012/010;100000
V0012/025;100000
V0012/050;100000
V0012/100;100000
V0012/250;100000
V0028;100000
V0028/010;100000
V0028/025;100000
V0028/050;100000
V0028/100;100000
V0028/250;100000
V0043;100000
V0043/005;100000
V0043/010;100000
V0043/025;100000
V0043/050;100000
V0043/100;100000
V0045;100000
V0045/005;100000
V0045/010;100000
V0045/025;100000
V0045/050;100000
V0045/100;100000
V0047;100000
V0047/005;100000
V0047/010;100000
V0047/025;100000
V0047/050;100000
V0047/100;100000
V0058;100000
V0058/005;100000
V0058/010;100000
V0058/025;100000
V0058/050;100000
V0058/100;100000
V0071;100000
V0071/005;100000
V0071/010;100000
V0071/025;100000
V0071/050;100000
V0071/100;100000
V0076;100000
V0076/010;100000
V0076/025;100000
V0076/050;100000
V0076/100;100000
V0076/250;100000
V0082;100000
V0082/010;100000
V0082/025;100000
V0082/050;100000
V0082/100;100000
V0082/250;100000
V0086;100000
V0086/005;100000
V0086/010;100000
V0086/025;100000
V0086/050;100000
V0086/100;100000
V0089;100000
V0089/010;100000
V0089/025;100000
V0089/050;100000
V0089/100;100000
V0089/250;100000
V0092;100000
V0092/005;100000
V0092/010;100000
V0092/025;100000
V0092/050;100000
V0092/100;100000
V1035;100000
V1035/005;100000
V1035/010;100000
V1035/025;100000
V1035/050;100000
V1035/100;100000
V1228;100000
V1228/005;100000
V1228/010;100000
V1228/025;100000
V1228/050;100000
V1229;100000
V1229/005;100000
V1229/010;100000
V1229/025;100000
V1229/050;100000
V1295;100000
V1295/005;100000
V1295/010;100000
V1295/025;100000
V1295/050;100000
VA001;100000
VA001/010;100000
VA001/025;100000
VA001/050;100000
VA001/100;100000
VF006;100000
VF006/010;100000
VF006/025;100000
VF006/050;100000
VF006/100;100000
VF006/250;100000
VF015;100000
VF015/010;100000
VF015/025;100000
VF015/050;100000
VF015/100;100000
VF015/250;100000
VF016;100000
VF016/010;100000
VF016/025;100000
VF016/050;100000
VF016/100;100000
VF016/250;100000
VF022;100000
VF022/010;100000
VF022/025;100000
VF022/050;100000
VF022/100;100000
VF022/250;100000
VF043;100000
VF043/005;100000
VF043/010;100000
VF043/025;100000
VF043/050;100000
VF043/100;100000
VF047;100000
VF047/005;100000
VF047/010;100000
VF047/025;100000
VF047/050;100000
VF047/100;100000
VF216;100000
VF216/005;100000
VF216/010;100000
VF216/025;100000
VF216/050;100000
VF216/100;100000
VF218;100000
VF218/005;100000
VF218/010;100000
VF218/025;100000
VF218/050;100000
VF218/100;100000
VFS03;100000
VFS03/005;100000
VFS03/010;100000
VFS03/025;100000
VFS03/050;100000
VFS03/100;100000
VFS05;100000
VFS05/005;100000
VFS05/010;100000
VFS05/025;100000
VFS05/050;100000
VFS05/100;100000
VFS07;100000
VFS07/005;100000
VFS07/010;100000
VFS07/025;100000
VFS07/050;100000
VFS07/100;100000
VFS08;100000
VFS08/005;100000
VFS08/010;100000
VFS08/025;100000
VFS08/050;100000
VFS08/100;100000
VFS09;100000
VFS09/005;100000
VFS09/010;100000
VFS09/025;100000
VFS09/050;100000
VFS09/100;100000
VFS21;100000
VFS21/005;100000
VFS21/010;100000
VFS21/025;100000
VFS21/050;100000
VFS21/100;100000
VFS23;100000
VFS23/005;100000
VFS23/010;100000
VFS23/025;100000
VFS23/050;100000
VFS23/100;100000
VFS29;100000
VFS29/005;100000
VFS29/010;100000
VFS29/025;100000
VFS29/050;100000
VFS29/100;100000
VS007;100000
VS007/010;100000
VS007/025;100000
VS007/050;100000
VS007/100;100000
VS007/250;100000
VS012;100000
VS012/010;100000
VS012/025;100000
VS012/050;100000
VS012/100;100000
VS012/250;100000
VS013;100000
VS013/005;100000
VS013/010;100000
VS013/025;100000
VS013/050;100000
VS013/100;100000
VS016;100000
VS016/005;100000
VS016/010;100000
VS016/025;100000
VS016/050;100000
VS016/100;100000
VS021;100000
VS021/010;100000
VS021/025;100000
VS021/050;100000
VS021/100;100000
VS021/250;100000
VS032;100000
VS032/010;100000
VS032/025;100000
VS032/050;100000
VS032/100;100000
VS032/250;100000
VS038;100000
VS038/005;100000
VS038/010;100000
VS038/025;100000
VS038/050;100000
VS038/100;100000
VS042;100000
VS042/005;100000
VS042/010;100000
VS042/025;100000
VS042/050;100000
VS042/100;100000
vs063;100000
vs063/010;100000
vs063/025;100000
vs063/050;100000
vs063/100;100000
vs063/250;100000
VS064;100000
VS064/005;100000
VS064/010;100000
VS064/025;100000
VS064/050;100000
VS064/100;100000
VS092;100000
VS092/005;100000
VS092/010;100000
VS092/025;100000
VS092/050;100000
VS092/100;100000
VS120;100000
VS120/005;100000
VS120/010;100000
VS120/025;100000
VS120/050;100000
VS120/100;100000
VS124;100000
VS124/005;100000
VS124/010;100000
VS124/025;100000
VS124/050;100000
VS124/100;100000
VS125;100000
VS125/005;100000
VS125/010;100000
VS125/025;100000
VS125/050;100000
VS125/100;100000
VS127;100000
VS127/005;100000
VS127/010;100000
VS127/025;100000
VS127/050;100000
VS127/100;100000
VS128;100000
VS128/005;100000
VS128/010;100000
VS128/025;100000
VS128/050;100000
VS128/100;100000
VS134;100000
VS134/005;100000
VS134/010;100000
VS134/025;100000
VS134/050;100000
VS134/100;100000
VS135;100000
VS135/005;100000
VS135/010;100000
VS135/025;100000
VS135/050;100000
VS135/100;100000
VS137;100000
VS137/005;100000
VS137/010;100000
VS137/025;100000
VS137/050;100000
VS137/100;100000
VS141;100000
VS141/005;100000
VS141/010;100000
VS141/025;100000
VS141/050;100000
VS141/100;100000
VS142;100000
VS142/005;100000
VS142/010;100000
VS142/025;100000
VS142/050;100000
VS142/100;100000
VS146;100000
VS146/005;100000
VS146/010;100000
VS146/025;100000
VS146/050;100000
VS146/100;100000
VS149;100000
VS149/005;100000
VS149/010;100000
VS149/025;100000
VS149/050;100000
VS149/100;100000
VS156;100000
VS156/010;100000
VS156/025;100000
VS156/050;100000
VS156/100;100000
VS156/250;100000
VS200;100000
VS200/010;100000
VS200/025;100000
VS200/050;100000
VS200/100;100000
VS200/250;100000
VS202;100000
VS202/010;100000
VS202/025;100000
VS202/050;100000
VS202/100;100000
VS202/250;100000
VS208;100000
VS208/010;100000
VS208/025;100000
VS208/050;100000
VS208/100;100000
VS208/250;100000
VSF08;100000
VSF08/010;100000
VSF08/025;100000
VSF08/050;100000
VSF08/100;100000
VSF08/250;100000
VSF13;100000
VSF13/010;100000
VSF13/025;100000
VSF13/050;100000
VSF13/100;100000
VSF13/250;100000
VSF20;100000
VSF20/010;100000
VSF20/025;100000
VSF20/050;100000
VSF20/100;100000
VSF20/250;100000
VSF21;100000
VSF21/010;100000
VSF21/025;100000
VSF21/050;100000
VSF21/100;100000
VSF21/250;100000
VSF37;100000
VSF37/005;100000
VSF37/010;100000
VSF37/025;100000
VSF37/050;100000
VSF37/100;100000
VSF47;100000
VSF47/010;100000
VSF47/025;100000
VSF47/050;100000
VSF47/100;100000
VSF47/250;100000
VSF56;100000
VSF56/010;100000
VSF56/025;100000
VSF56/050;100000
VSF56/100;100000
VSF56/250;100000
VSF82;100000
VSF82/010;100000
VSF82/025;100000
VSF82/050;100000
VSF82/100;100000
VSF82/250;100000
BROMFCL6910DN;2
BROMFCL9670CDN;2
